gene,FC,neg_log_10_padj,padj
Pwp2,1.739,2.652,0.002228435
Eno1,2.451,2.652,0.002228435
Gm47138,2.751,2.649,0.002243882
Tasp1,1.7,2.642,0.002280342
Apex1,2.165,2.641,0.002285599
Zfp263,1.29,2.64,0.002290868
Dars,1.396,2.627,0.002360478
Atf4,1.636,2.623,0.002382319
Tnip2,1.447,2.62,0.002398833
Ggact,3.013,2.615,0.00242661
Dkc1,1.735,2.609,0.002460368
Ppa1,2.22,2.606,0.002477422
Naa25,1.228,2.604,0.002488857
Igtp,1.937,2.602,0.002500345
Lyrm7,3.386,2.595,0.002540973
Gadd45g,4.605,2.59,0.002570396
Pfkp,1.648,2.589,0.002576321
Mrm3,1.709,2.585,0.00260016
Stk16,1.972,2.578,0.002642409
Ddx18,1.419,2.574,0.002666859
Snrpa1,1.56,2.573,0.002673006
Tent5c,0.49,2.566,0.002716439
Nbn,2.54,2.552,0.002805434
Nob1,1.733,2.546,0.002844461
Treml2,2.329,2.545,0.002851018
D630008O14Rik,6.04,2.534,0.002924152
Abcg1,1.516,2.518,0.003033891
D030028A08Rik,2.262,2.483,0.003288516
Rel,1.795,2.481,0.003303695
Snhg1,1.803,2.48,0.003311311
Arid5b,2.708,2.477,0.003334264
Runx1,1.422,2.46,0.003467369
Ado,1.372,2.442,0.003614099
Smap2,1.675,2.441,0.00362243
Hipk2,2.486,2.426,0.00374973
Vps54,1.508,2.421,0.00379315
B4galt1,0.643,2.409,0.00389942
Wdfy2,2.036,2.4,0.003981072
Rpp14,1.592,2.4,0.003981072
Tmx1,1.389,2.399,0.003990249
Tk1,0.384,2.386,0.004111497
Fabp5,10.502,2.376,0.004207266
Vmn2r97,1.747,2.372,0.004246196
Gm37053,5.185,2.352,0.004446313
Ebna1bp2,1.664,2.351,0.004456562
Tars,1.516,2.34,0.004570882
Mettl22,2.223,2.338,0.00459198
Usp36,1.993,2.324,0.00474242
Pde4b,0.561,2.323,0.004753352
Rrp9,1.683,2.285,0.005188
Ftsj3,1.446,2.265,0.005432503
Wdr75,1.792,2.26,0.005495409
Ubl3,2.504,2.253,0.005584702
Tma16,2.261,2.247,0.005662393
Cds2,0.689,2.247,0.005662393
Car2,0.124,2.243,0.005714786
Xkrx,1.406,2.228,0.005915616
Slc12a7,0.688,2.221,0.006011737
Wdr46,1.786,2.218,0.006053409
Gcsh,2.617,2.215,0.006095369
Ifngr2,1.642,2.211,0.006151769
Gm33994,3.118,2.202,0.006280584
Uhrf1bp1l,1.417,2.195,0.006382635
Gm47603,2.139,2.183,0.006561453
Gm49417,6.577,2.174,0.006698846
Dancr,2.007,2.173,0.006714289
Rab37,1.647,2.173,0.006714289
Arap2,1.575,2.165,0.006839116
Ccdc115,1.536,2.164,0.006854882
Gm37248,1.572,2.162,0.006886523
Dtx3l,1.954,2.143,0.00719449
Tmem97,1.855,2.136,0.007311391
2410002F23Rik,1.916,2.129,0.007430191
Tmed5,1.432,2.128,0.00744732
Hs6st1,2.786,2.125,0.007498942
Ahcyl2,1.95,2.123,0.007533556
Snhg4,1.84,2.119,0.007603263
Ezh2,1.476,2.119,0.007603263
Tgfbr1,3.371,2.115,0.007673615
Mphosph10,1.554,2.113,0.007709035
Prkd3,2.257,2.101,0.007925013
Grwd1,1.705,2.083,0.008260379
Mrto4,1.655,2.083,0.008260379
Abce1,1.534,2.075,0.008413951
Polr1e,1.601,2.073,0.008452788
Tdgf1,10.93,2.066,0.008590135
Trmt11,1.485,2.052,0.00887156
Bcap29,1.543,2.041,0.009099133
Dr1,1.379,2.04,0.009120108
Ptpn3,8.969,2.039,0.009141132
Etfbkmt,3.398,2.032,0.009289664
Nptn,1.952,2.031,0.009311079
Utp4,1.365,2.024,0.009462372
Timm9,1.395,2.023,0.009484185
Llph,1.473,2.021,0.009527962
Etv3,1.623,2.02,0.009549926
Polr3d,2.076,2.01,0.009772372
Noa1,1.79,2.003,0.00993116
Eif4e,1.507,1.997,0.010069317
Rpp38,2.202,1.994,0.010139114
Ydjc,1.686,1.989,0.010256519
Mtap,1.442,1.982,0.010423174
Wdr59,2.143,1.977,0.010543869
Snhg6,2.209,1.975,0.010592537
Cln5,1.678,1.961,0.010939564
Agpat3,1.608,1.957,0.011040786
Rcn1,1.709,1.953,0.011142945
Znrf3,1.74,1.951,0.011194379
Il2ra,2.611,1.944,0.011376273
Socs1,7.96,1.932,0.011694994
Pcsk4,2.843,1.918,0.012078138
Dock10,1.288,1.909,0.012331048
Polr3h,2.078,1.906,0.012416523
Dcun1d2,1.537,1.903,0.01250259
Senp1,1.608,1.903,0.01250259
Pwwp3a,1.238,1.895,0.012735031
Snhg17,2.169,1.884,0.013061709
Surf2,1.473,1.883,0.013091819
Fbxo33,1.852,1.876,0.013304544
Csrnp1,2.063,1.875,0.013335214
Gm28935,2.725,1.871,0.013458604
Ddx21,1.582,1.871,0.013458604
Mak16,1.456,1.853,0.014028137
Lad1,5.077,1.847,0.014223288
Nampt,1.884,1.844,0.014321879
Cycs,1.807,1.834,0.014655478
Ppan,1.89,1.831,0.014757065
Rhoh,0.777,1.826,0.014927944
Rrp1b,1.951,1.812,0.015417005
Hs3st3b1,0.385,1.809,0.01552387
Hsd11b1,1.425,1.802,0.015776113
Itgb3,1.757,1.799,0.015885467
Mdn1,1.366,1.796,0.01599558
Arglu1,1.47,1.796,0.01599558
Gm47585,1.96,1.792,0.016143586
Mtss1,0.422,1.784,0.016443717
Bcl6,0.23,1.783,0.016481624
Apmap,1.524,1.774,0.016826741
Rbbp8,0.555,1.765,0.017179084
Gprin3,6.007,1.764,0.017218686
G0s2,2.49,1.763,0.017258379
Fchsd2,1.599,1.763,0.017258379
Pros1,14.184,1.759,0.017418069
Rrp15,1.361,1.744,0.018030177
Rab8b,2.035,1.743,0.018071741
Agfg1,1.715,1.742,0.018113401
Ippk,1.598,1.742,0.018113401
Pole2,2.353,1.731,0.018578045
Ppm1h,1.787,1.726,0.018793168
Gm28875,1.889,1.725,0.018836491
Idh3a,1.408,1.725,0.018836491
Gpatch4,1.583,1.716,0.019230917
Mrps18b,1.526,1.711,0.019453601
Rab27a,0.573,1.706,0.019678863
Tada2a,1.604,1.687,0.020558906
Ccdc86,1.515,1.686,0.020606299
Itm2a,1.322,1.678,0.020989399
Aqp3,2.101,1.666,0.021577444
Tafa3,2.61,1.661,0.021827299
Mettl1,1.529,1.651,0.022335722
Slc22a5,1.971,1.644,0.022698649
Prag1,0.511,1.637,0.023067472
Fh1,1.554,1.632,0.023334581
Zfp512,0.772,1.625,0.023713737
Gm1976,0.644,1.611,0.024490632
Mybbp1a,1.668,1.608,0.024660393
Larp1,1.972,1.597,0.02529298
B4galt5,1.642,1.586,0.025941794
Gmppb,1.669,1.579,0.026363314
Brix1,1.355,1.576,0.026546056
Eef2k,2.159,1.572,0.026791683
Slco3a1,0.703,1.572,0.026791683
Smad2,1.229,1.572,0.026791683
Gbp9,1.278,1.557,0.027733201
Acss1,0.598,1.55,0.028183829
Smyd5,1.564,1.544,0.028575905
Pno1,1.568,1.544,0.028575905
Atl2,1.686,1.536,0.029107171
Tfrc,1.866,1.515,0.030549211
Pik3cd,1.106,1.511,0.03083188
Gng12,0.661,1.499,0.031695675
Aldh1b1,1.691,1.498,0.031768741
Xxylt1,3.124,1.494,0.032062693
Icosl,2.766,1.489,0.032433962
Zfp217,1.378,1.488,0.03250873
Snx2,1.531,1.484,0.032809529
Zswim1,1.212,1.483,0.032885163
Jund,2.115,1.481,0.033036954
Tes,0.811,1.472,0.033728731
Zmynd19,1.591,1.458,0.034833732
Pde12,1.407,1.455,0.035075187
Pdcd4,2.08,1.448,0.035645113
Traf5,0.759,1.447,0.035727284
Wdr74,1.418,1.444,0.035974934
Zfp53,0.719,1.433,0.03689776
Tut1,1.416,1.425,0.03758374
Mir17hg,2.046,1.417,0.038282474
1600014C10Rik,1.565,1.407,0.039174188
Ifrd2,1.594,1.406,0.039264494
Tnfsf10,1.652,1.398,0.039994475
Ube2l6,4.678,1.395,0.040271703
Rras2,1.539,1.394,0.040364539
Hivep1,0.678,1.393,0.040457589
Lrrfip1,0.825,1.384,0.04130475
Gm13546,1.635,1.375,0.04216965
Trmt61a,1.994,1.37,0.042657952
Adamtsl4,1.228,1.366,0.043052661
Rmdn3,1.584,1.338,0.045919801
Ipo4,1.821,1.337,0.046025657
Slc35b4,1.312,1.335,0.046238102
Prkab1,0.744,1.325,0.047315126
Ptgir,0.161,1.32,0.047863009
Ipo5,1.414,1.319,0.047973345
Pprc1,1.82,1.312,0.048752849
Arhgef3,1.321,1.31,0.048977882
Gnaq,1.723,1.308,0.049203954
Vmp1,1.441,1.297,0.05046613
Gm19585,1.75,1.295,0.050699071
Snx29,1.252,1.293,0.050933087
B430306N03Rik,1.505,1.277,0.052844525
Cul2,1.228,1.257,0.055335011
Spout1,1.395,1.251,0.056104798
Car12,1.868,1.239,0.057676646
N4bp1,2.173,1.233,0.058479008
Cdh1,21.469,1.226,0.059429216
Tnfaip3,2.622,1.224,0.059703529
Lyar,1.489,1.211,0.061517687
Tex9,0.654,1.206,0.062230029
Cisd1,1.396,1.19,0.064565423
Tmco3,1.386,1.184,0.065463617
Mgat1,1.282,1.177,0.066527316
Selenos,1.201,1.164,0.068548823
B3galt4,1.266,1.162,0.06886523
Crtap,1.403,1.161,0.06902398
Pecam1,0.834,1.154,0.07014553
Epcam,0.577,1.154,0.07014553
Sgpp1,1.427,1.153,0.070307232
Med7,1.952,1.147,0.071285303
Mrps10,1.462,1.141,0.07227698
Stat5a,1.478,1.137,0.072945751
Mif4gd,0.76,1.137,0.072945751
Ddx31,1.461,1.134,0.073451387
Kdm6b,0.663,1.133,0.07362071
Lif,4.343,1.13,0.074131024
Casp6,1.206,1.12,0.075857758
Mrpl47,1.341,1.119,0.076032628
Net1,1.199,1.097,0.079983426
Gm36931,1.409,1.087,0.081846479
Rbpj,1.59,1.069,0.085310011
Zbtb38,1.662,1.062,0.086696188
Ramp3,0.696,1.058,0.087498378
Lrrc32,5.05,1.054,0.08830799
Gm44292,1.89,1.051,0.088920112
Wtap,1.578,1.051,0.088920112
Slc9a6,1.579,1.042,0.090782053
Atp6v1a,1.16,1.039,0.091411324
Arhgap31,0.779,1.037,0.09183326
Cited2,0.646,1.036,0.092044957
Hvcn1,0.718,1.035,0.092257143
Zfp120,1.405,1.033,0.092682982
Spata5,1.383,1.033,0.092682982
Clcn3,1.447,1.025,0.094406088
Heatr3,1.59,1.018,0.095940063
A630081D01Rik,1.354,1.017,0.096161228
Gemin8,1.673,1.007,0.098401111
Hgh1,1.26,0.992,0.101859139
Cd9,0.725,0.988,0.10280163
Taf1d,1.241,0.983,0.103992017
Nedd9,0.845,0.97,0.107151931
Riok2,1.27,0.968,0.107646521
Abhd2,0.868,0.967,0.107894672
Gpr183,1.398,0.966,0.108143395
Tsen2,1.244,0.963,0.108893009
Dennd4c,0.637,0.935,0.116144861
Pla2g15,0.622,0.932,0.116949939
Nol6,1.412,0.931,0.117219537
Cpt1a,0.486,0.928,0.118032064
Lpxn,0.558,0.919,0.120503594
Rara,1.318,0.909,0.123310483
Map3k8,1.409,0.906,0.124165231
Acsl4,1.206,0.905,0.124451461
Gk,1.807,0.904,0.124738351
Ltv1,1.375,0.903,0.125025903
Iqsec1,0.594,0.897,0.126765187
Cd164,1.217,0.891,0.128528666
St7,0.62,0.887,0.129717927
Nle1,1.859,0.884,0.130617089
Slc14a1,1.397,0.881,0.131522483
Ppp1r21,0.754,0.878,0.132434154
Tmem123,0.692,0.877,0.132739446
Tbc1d2b,1.305,0.869,0.135207256
Capza2,1.227,0.866,0.136144468
Bcl2l11,1.309,0.845,0.142889396
Socs3,1.473,0.844,0.14321879
Ankrd49,1.355,0.836,0.145881426
Batf,1.351,0.828,0.148593564
Nol11,1.332,0.826,0.149279441
Slc25a25,1.318,0.817,0.152405275
Mapk6,1.274,0.815,0.153108746
Clcn5,1.555,0.814,0.153461698
Grpel2,1.388,0.81,0.154881662
Ikbke,1.145,0.808,0.155596563
Pdzd11,1.336,0.799,0.158854675
Kantr,0.931,0.79,0.16218101
Spen,0.787,0.786,0.163681652
Trmt61b,1.717,0.785,0.164058977
Foxn3,1.31,0.785,0.164058977
Gm38228,0.872,0.774,0.168267406
Gsto1,1.192,0.768,0.170608239
Pop1,1.787,0.748,0.178648757
Klhl25,0.707,0.747,0.179060585
Klhl18,0.849,0.744,0.180301774
Ppp1r16b,1.325,0.741,0.181551566
Mapre2,1.13,0.737,0.183231442
Tuba1b,0.912,0.735,0.1840772
Tra2b,1.233,0.725,0.188364909
Ppid,1.414,0.711,0.194536008
Creld2,1.148,0.708,0.195884467
Clic4,1.184,0.698,0.200447203
Glrx,0.727,0.694,0.202301918
Lrmp,1.176,0.691,0.203704208
Slc52a3,0.554,0.684,0.207014135
Slc30a4,1.277,0.683,0.207491352
Slc19a1,1.482,0.683,0.207491352
Xylt1,1.349,0.674,0.211836114
Mbnl1,1.323,0.673,0.212324446
Cox10,1.253,0.673,0.212324446
Tfap4,1.93,0.671,0.213304491
Zfp658,1.443,0.667,0.215278173
Sec24d,0.652,0.667,0.215278173
Ncor2,0.769,0.666,0.215774441
Gbp5,1.645,0.658,0.219785987
Mbnl3,1.292,0.657,0.220292646
Pisd,1.151,0.656,0.220800473
Ptger4,1.434,0.652,0.222843515
Septin2,1.17,0.651,0.223357222
Urb1,1.54,0.636,0.231206479
Mon1b,1.245,0.628,0.235504928
Nek6,1.553,0.627,0.236047823
Vhl,0.827,0.625,0.237137371
Gatc,1.216,0.623,0.238231947
Irf4,1.818,0.622,0.238781128
Ski,0.931,0.615,0.24266101
Zfp609,1.224,0.609,0.24603676
Snora31,0.783,0.606,0.247742206
Dpy19l3,0.835,0.603,0.249459473
Fasl,0.528,0.599,0.251767693
Immt,1.093,0.597,0.2529298
St3gal4,0.746,0.596,0.253512863
Brwd1,0.829,0.595,0.254097271
Abcg2,1.171,0.594,0.254683025
Kif23,0.812,0.59,0.257039578
Irf2bp2,0.824,0.58,0.263026799
Emc6,1.16,0.58,0.263026799
Rrp8,1.252,0.575,0.266072506
Tbc1d16,1.191,0.57,0.26915348
Nup62,1.141,0.567,0.271019163
Lfng,0.694,0.564,0.272897778
Socs2,1.528,0.547,0.283791903
Klhdc2,1.242,0.545,0.285101827
Cltc,1.45,0.543,0.286417797
Akr1c13,1.148,0.525,0.298538262
Stat4,0.894,0.511,0.308318795
Abtb2,1.135,0.51,0.309029543
Dnah8,1.113,0.508,0.310455959
Cars,1.195,0.501,0.315500462
Pou2af1,0.521,0.498,0.317687407
Secisbp2l,0.905,0.492,0.322106879
E230001N04Rik,0.762,0.49,0.323593657
Gm49616,1.378,0.487,0.325836701
Scly,1.229,0.483,0.328851631
Nop14,1.231,0.482,0.329609712
Sh3bp2,1.32,0.478,0.332659553
Osgin2,0.844,0.473,0.336511569
Cd53,1.113,0.469,0.339625273
Dynll1,0.853,0.465,0.342767787
Slc4a7,0.824,0.46,0.34673685
Trio,0.848,0.458,0.348337315
Sipa1l3,0.861,0.453,0.352370871
Hivep3,0.764,0.451,0.353997341
Kctd20,1.08,0.448,0.356451133
Gm38062,1.249,0.443,0.360578643
Usp39,0.723,0.433,0.368977599
Selenon,1.576,0.431,0.370680722
Rbbp6,0.935,0.429,0.372391706
Plekha1,0.904,0.426,0.374973002
Utp25,1.116,0.42,0.380189396
Nebl,1.671,0.414,0.385478358
Samsn1,1.077,0.411,0.388150366
Pim2,1.109,0.41,0.389045145
Gpn1,1.15,0.409,0.389941987
Ldha,0.946,0.406,0.392644935
Tbc1d17,0.916,0.403,0.39536662
Ficd,0.805,0.401,0.397191549
Gm43331,1.152,0.401,0.397191549
Kmt5a,1.191,0.4,0.398107171
Atf1,1.108,0.397,0.400866718
Eif2b2,0.912,0.38,0.416869383
Mettl2,1.123,0.377,0.419758984
Gm42595,1.28,0.376,0.420726628
Fam129a,1.365,0.371,0.425598413
1700030K09Rik,0.82,0.355,0.441570447
Slc9a3r1,0.91,0.35,0.446683592
Plekho1,1.48,0.35,0.446683592
Plgrkt,1.058,0.348,0.44874539
Auh,0.909,0.347,0.449779855
St8sia4,0.825,0.345,0.451855944
Gm43581,1.15,0.342,0.45498806
Triap1,1.184,0.34,0.45708819
Cyp4f16,1.071,0.335,0.462381021
Stap1,1.051,0.329,0.468813382
Mbd1,0.846,0.324,0.474241985
Tnfaip8,1.079,0.324,0.474241985
Rps6kc1,1.481,0.323,0.475335226
Chchd4,1.077,0.323,0.475335226
Sac3d1,0.852,0.316,0.483058802
Sdccag8,1.033,0.313,0.486407206
Mrps18c,1.084,0.312,0.48752849
Egr2,1.201,0.309,0.490907876
Med15,0.975,0.305,0.495450191
Fam234b,1.099,0.304,0.496592321
Zfp459,0.759,0.303,0.497737085
Abi2,0.806,0.303,0.497737085
Acbd4,1.136,0.297,0.504661298
Slc16a1,1.42,0.295,0.506990708
Vrk1,1.074,0.278,0.527229861
Tmem39a,1.093,0.278,0.527229861
Inpp5a,1.087,0.276,0.529663444
Gm38365,1.112,0.274,0.532108259
Flot1,1.067,0.268,0.539510623
Ptch1,0.942,0.267,0.540754323
Jak2,0.963,0.266,0.54200089
Uck2,1.174,0.262,0.547015963
Mid1,0.847,0.259,0.550807696
Tmed8,0.828,0.257,0.553350109
Creb3l2,1.083,0.256,0.554625713
Tmem106a,0.87,0.254,0.557185749
Sell,0.954,0.252,0.559757601
Bloc1s6,0.932,0.248,0.564936975
Nod1,0.808,0.246,0.567544605
Nme6,0.911,0.238,0.578096047
Snap47,1.079,0.236,0.580764418
Hspa5,0.95,0.224,0.597035287
B3gat3,1.231,0.223,0.598411595
Zc3h12a,1.11,0.217,0.60673633
Tcerg1,0.921,0.215,0.609536897
Washc2,0.942,0.201,0.629506183
Qsox2,1.187,0.199,0.632411851
Setdb1,0.961,0.199,0.632411851
Cry1,1.128,0.195,0.638263486
D10Wsu102e,1.069,0.195,0.638263486
Dgat2,1.597,0.193,0.641209577
Rbsn,1.07,0.193,0.641209577
Zc3h11a,1.085,0.19,0.645654229
Pms2,1.042,0.173,0.671428853
Pxk,0.951,0.168,0.679203633
Hyal2,0.81,0.163,0.68706844
Tgm2,3.149,0.162,0.688652296
Manf,1.028,0.162,0.688652296
Gm11707,1.035,0.161,0.690239804
Jtb,1.036,0.159,0.693425806
Rab35,1.082,0.158,0.695024318
Cbl,0.966,0.158,0.695024318
Kif13b,0.932,0.152,0.704693069
Alg2,1.073,0.151,0.706317554
Slamf6,0.964,0.147,0.71285303
Tnfrsf1b,0.934,0.144,0.717794291
Ifi30,0.948,0.141,0.722769804
Irs2,0.927,0.139,0.726105957
Vps37a,0.963,0.137,0.72945751
Pgm2l1,0.948,0.126,0.748169501
Hhat,0.9,0.126,0.748169501
Cnst,1.048,0.122,0.755092228
Xrcc2,0.911,0.121,0.756832895
Ttl,1.133,0.118,0.76207901
Efl1,0.962,0.118,0.76207901
Errfi1,1.096,0.114,0.76913044
Comt,1.025,0.113,0.770903469
Jmjd6,0.97,0.109,0.778036551
Zcchc2,1.076,0.109,0.778036551
Eif4a1,1.092,0.108,0.779830111
Flvcr1,1.016,0.104,0.78704579
Prps1,1.085,0.102,0.790678628
Sec23b,0.977,0.095,0.803526122
Rrs1,1.273,0.09,0.812830516
Cd44,1.127,0.09,0.812830516
Itpripl1,0.978,0.088,0.816582371
Pacc1,0.958,0.086,0.820351544
Syngr2,1.021,0.085,0.82224265
Pim3,1.158,0.083,0.82603795
Elac2,0.99,0.08,0.831763771
Atad3a,0.994,0.078,0.835603018
Gm44321,1.097,0.076,0.839459987
Xdh,0.951,0.074,0.843334758
Ctsc,0.986,0.074,0.843334758
Sdf2l1,1.041,0.073,0.845278845
Emilin1,0.972,0.073,0.845278845
Gm5547,1.083,0.07,0.851138038
Ccdc62,1.387,0.061,0.868960429
F2r,0.992,0.054,0.8830799
Slco4a1,0.969,0.051,0.889201118
Sypl,1.012,0.048,0.895364766
Dusp22,0.881,0.045,0.901571138
Tmem41a,0.982,0.044,0.903649474
Sdc4,1.058,0.043,0.905732601
Camk2d,0.991,0.041,0.909913273
Pfkfb4,1.033,0.038,0.91622049
Gsn,0.966,0.033,0.926829823
Otulin,0.934,0.03,0.933254301
Actr5,1.057,0.029,0.935405674
Wdr12,0.992,0.027,0.939723311
Gm43753,1.018,0.025,0.944060876
Cd69,1.005,0.021,0.952796164
Ankrd40,0.982,0.019,0.957194071
Smad7,0.989,0.016,0.963829024
Etv5,0.896,0.015,0.966050879
Jmjd1c,0.992,0.015,0.966050879
Tarbp2,1.001,0.008,0.981747943
Jmjd4,1.017,0.007,0.984011106
Ppargc1b,1.005,0.005,0.988553095
Acyp1,1.072,0.001,0.997700064
Ffar2,1,0,1
Ccl24,1,0,1
Gm13899,1,0,1
Mgl2,1,0,1
Dab2,1,0,1
Cbr3,1,0,1
AA467197,1,0,1
Pdcd1lg2,1,0,1
Slc7a2,1,0,1
Ccl17,1,0,1
Nfil3,1,0,1
B3gnt7,1,0,1
Cd209e,1,0,1
Nuak1,1,0,1
Apol7c,1,0,1
Ier3,1,0,1
Pgf,1,0,1
Fam20c,1,0,1
Pparg,1,0,1
Gja1,1,0,1
Plekhf1,1,0,1
Car4,1,0,1
Serpina3g,1,0,1
Gm19434,1,0,1
Ifng,1,0,1
Baiap3,1,0,1
Ahr,1,0,1
Dlk2,1,0,1
Sphk1,1,0,1
Prnp,1,0,1
Lifr,1,0,1
Gzma,1,0,1
Tuba8,1,0,1
Gm5345,1,0,1
Mrc1,1,0,1
Ddx4,1,0,1
Serpina3f,1,0,1
Cidea,1,0,1
Kcnk13,1,0,1
Tmem132a,1,0,1
Scimp,1,0,1
Pxdc1,1,0,1
Pkib,1,0,1
