gene,FC,neg_log_10_padj,padj
P4hb,1.065,0.312,0.48752849
Nle1,1.189,0.305,0.495450191
G530011O06Rik,1.2,0.302,0.498884487
Smg9,0.946,0.301,0.500034535
Gm26616,3.874,0.3,0.501187234
Plec,0.895,0.297,0.504661298
Sphk1,0.43,0.295,0.506990708
Cdo1,0.488,0.295,0.506990708
Snhg4,0.844,0.293,0.509330871
Lsm5,1.155,0.284,0.519995997
Ccr1,1.494,0.283,0.521194711
Hsp90b1,0.921,0.282,0.522396189
Id1,0.733,0.274,0.532108259
Trim30b,0.71,0.273,0.533334895
Sting1,1.06,0.27,0.537031796
Trim30c,1.762,0.269,0.538269783
Cd209a,0.725,0.265,0.543250331
Adgrg3,0.656,0.264,0.544502653
Anxa1,0.683,0.263,0.545757861
Slc25a24,0.638,0.262,0.547015963
Srebf2,0.94,0.261,0.548276965
Lrmp,0.903,0.259,0.550807696
Septin7,1.056,0.257,0.553350109
Gm17823,2.592,0.254,0.557185749
Tarm1,2.266,0.243,0.571478637
Vdac3,0.915,0.243,0.571478637
Fra10ac1,1.083,0.242,0.572796031
Tnfsf14,0.688,0.238,0.578096047
Sfxn5,0.761,0.237,0.579428696
Pla2g4a,0.367,0.232,0.586138165
Gm6563,0.903,0.231,0.587489353
Myo1e,0.958,0.23,0.588843655
Sel1l3,0.676,0.229,0.59020108
Noc3l,1.093,0.229,0.59020108
Ss18l2,1.117,0.226,0.594292159
Chst11,3.457,0.224,0.597035287
Gas7,0.536,0.219,0.603948629
Gm15336,1.105,0.218,0.605340875
Mt1,1.309,0.213,0.612350392
Prkcz2,0.927,0.21,0.616595002
Saa3,1.302,0.209,0.6180164
Slc27a3,0.343,0.209,0.6180164
Id2,1.106,0.207,0.620869034
Cux1,0.932,0.205,0.623734835
Timp1,1.105,0.202,0.628058359
Ceacam1,0.72,0.201,0.629506183
Fcor,1.537,0.198,0.633869711
Gprc5a,1.052,0.196,0.636795521
Atp2b4,0.508,0.195,0.638263486
Adam9,0.547,0.19,0.645654229
Gatm,0.928,0.18,0.660693448
Slc39a14,1.209,0.178,0.66374307
Trp53inp2,0.732,0.173,0.671428853
Dstn,1.215,0.171,0.674528028
Vcan,0.55,0.167,0.680769359
Cmc4,0.94,0.165,0.683911647
Sdc4,2.576,0.164,0.685488226
Gm42463,0.71,0.163,0.68706844
Abhd5,0.912,0.16,0.691830971
9330020H09Rik,1.212,0.156,0.698232404
Igsf10,1.659,0.155,0.699841996
Trmt61a,1.025,0.152,0.704693069
Kmt5a,0.895,0.152,0.704693069
Plscr1,1.593,0.147,0.71285303
mt-Co1,1.029,0.147,0.71285303
Tigar,0.9,0.146,0.714496326
Fbln1,1.152,0.139,0.726105957
Syne2,1.111,0.136,0.731139083
Gemin6,0.925,0.135,0.732824533
Rp2,0.938,0.135,0.732824533
Csf2rb2,0.794,0.134,0.734513868
Cd38,1.294,0.132,0.73790423
Txnrd1,1.022,0.131,0.739605275
Lrg1,0.884,0.13,0.741310241
mt-Cytb,0.98,0.126,0.748169501
Eef1e1,0.962,0.122,0.755092228
Gm17066,1.077,0.122,0.755092228
Ndufv3,0.968,0.119,0.760326277
Ms4a6c,1.033,0.119,0.760326277
Gm49839,1.975,0.116,0.765596607
C5ar1,1.085,0.116,0.765596607
Il20rb,0.872,0.115,0.767361489
Atp8a1,0.937,0.114,0.76913044
Ltb4r1,1.081,0.111,0.774461798
Lcor,1.098,0.11,0.776247117
Sigirr,1.017,0.106,0.783429643
Fam98a,0.956,0.106,0.783429643
Angptl7,0.877,0.105,0.785235635
Polr2h,1.054,0.105,0.785235635
4933400F21Rik,0.606,0.095,0.803526122
Fgr,1.742,0.095,0.803526122
Clmn,0.721,0.09,0.812830516
Osmr,0.807,0.089,0.814704284
Cdc25a,1.04,0.088,0.816582371
Susd6,1.021,0.087,0.818464788
Agfg1,0.954,0.086,0.820351544
Gm28935,0.888,0.08,0.831763771
Plek,1.519,0.079,0.833681185
Gm22146,1.033,0.078,0.835603018
Kcnn3,0.799,0.078,0.835603018
Tbc1d8,0.877,0.076,0.839459987
Gm17300,0.956,0.076,0.839459987
Epb41l4a,1.1,0.072,0.847227414
Ednrb,0.998,0.071,0.849180475
Lmo1,0.832,0.068,0.855066713
Crtc3,1.024,0.068,0.855066713
Fabp3,0.839,0.065,0.860993752
Clec4e,1.033,0.063,0.864967919
Hcfc2,1.009,0.063,0.864967919
Lyrm1,0.858,0.052,0.887156012
Hmox1,0.923,0.051,0.889201118
Sc5d,0.959,0.05,0.891250938
Sri,0.992,0.05,0.891250938
Trib1,0.883,0.047,0.897428795
Gm6225,1.069,0.046,0.899497582
Cyfip1,1.213,0.044,0.903649474
Lactb2,1.016,0.042,0.90782053
Fcgr2b,0.491,0.042,0.90782053
Nol10,1.006,0.035,0.922571427
Slc16a5,1.009,0.033,0.926829823
Tnfsf13b,1.061,0.032,0.928966387
Zfp772,0.982,0.031,0.931107875
Adgb,1.108,0.03,0.933254301
Uqcrb,0.994,0.029,0.935405674
Icam1,0.987,0.028,0.937562007
1110038B12Rik,1.019,0.028,0.937562007
